data/compact1.txt https://www.compact-online.de/wow-chinesische-soldatinnen-die-schaerfste-waffe-gegen-uncle-sam/ 2018-01-25 |['Jürgen Elsässer'] | Internationale Politik |radically right| None
data/compact2.txt https://www.compact-online.de/weidel-fordert-kika-ende-cdu-stadtrat-hat-strafanzeige-erstattet/ 2018-01-25 |['Katja Wolters'] | Allgemein |radically right| None
data/compact3.txt https://www.compact-online.de/kruzifix-skandal-am-miesbacher-amtsgericht/ 2018-01-25 |['Online-Autor'] | Innenpolitik |radically right| None
data/compact4.txt https://www.compact-online.de/marvin-ist-maertyrer-geworden-wie-ein-vater-seinen-sohn-an-den-is-verlor/ 2018-01-25 |['Marc Dassen'] | Aktuell |radically right| None
data/compact5.txt https://www.compact-online.de/kraftwerk-deutsche-wertarbeit-seit-ueber-45-jahren/ 2018-01-25 |['Daniell Pföhringer'] | Allgemein |radically right| None
data/compact6.txt https://www.compact-online.de/gericht-laesst-pfaendung-von-compact-webseite-zu-ein-schwerer-angriff-auf-die-pressefreiheit/ 2018-01-24 |['Jürgen Elsässer'] | Highlights |radically right| None
data/compact7.txt https://www.compact-online.de/luenener-messerschueler-das-opfer-schaute-meine-mutter-an/ 2018-01-24 |['Max Z. Kowalsky'] | Innenpolitik |radically right| None
data/compact8.txt https://www.compact-online.de/bandidos-pressesprecher-im-compact-exklusivinterview/ 2018-01-24 |['COMPACT-Magazin'] | Allgemein |radically right| None
data/compact9.txt https://www.compact-online.de/jeder-soll-sich-die-wahrheit-selbst-erschliessen-interview-mit-gerhard-wisnewski/ 2018-01-23 |['COMPACT-Magazin'] | Allgemein |radically right| None
data/compact10.txt https://www.compact-online.de/massenschlaegerei-zwischen-kurden-und-erdogan-tuerken-am-flughafen-hannover-video/ 2018-01-23 |['Tino Perlick'] | Internationale Politik |radically right| None
data/compact11.txt https://www.compact-online.de/tuerkische-aggression-gegen-syrien-mit-deutschen-panzern/ 2018-01-23 |['Martin Müller-Mertens'] | Internationale Politik |radically right| None
data/compact12.txt https://www.compact-online.de/eilt-schueler-toetet-mitschueler-an-gesamtschule-in-luenen-nrw/ 2018-01-23 |['COMPACT-Magazin'] | Innenpolitik |radically right| None
data/compact13.txt https://www.compact-online.de/das-linke-paradox-wagenknechts-offensive-fuer-eine-neue-linke-sammlungsbewegung/ 2018-01-23 |['Seyed Alireza Mousavi'] | Innenpolitik |radically right| None
data/compact14.txt https://www.compact-online.de/fuer-kurze-zeit-neuer-wisnewski-bestseller-gratis-als-compact-abo-praemie/ 2018-01-22 |['COMPACT-Shop'] | Highlights |radically right| None
