|articles/0001_Regieren ohne Zipfelmützen.txt| https://jungle.world/artikel/2018/04/regieren-ohne-zipfelmuetzen 2018-01-25 |Sebastian Weiermann| inland []
|articles/0002_»Bei Bitcoin geht es weniger um Technologie als um Psychologie«.txt| https://jungle.world/artikel/2018/04/bei-bitcoin-geht-es-weniger-um-technologie-als-um-psychologie 2018-01-25 |Malte Voß| thema []
|articles/0003_Ökonomie des Ziegenstalls.txt| https://jungle.world/artikel/2018/04/oekonomie-des-ziegenstalls 2018-01-25 |Volker Weiß| inland []
|articles/0004_Rüge für die Spione.txt| https://jungle.world/artikel/2018/04/ruege-fuer-die-spione 2018-01-25 |Ulrike Becker| inland []
|articles/0005_Shopping immer,  rückwärts nimmer.txt| https://jungle.world/artikel/2018/04/shopping-immer-rueckwaerts-nimmer 2018-01-25 |Hans-Georg Schaefer| dschungel []
|articles/0006_Reich ohne Staat.txt| https://jungle.world/artikel/2018/04/reich-ohne-staat 2018-01-25 |Felix Schilk| thema []
|articles/0007_Eine Woman of Colour  auf Schloss Windsor.txt| https://jungle.world/artikel/2018/04/eine-woman-colour-auf-schloss-windsor 2018-01-25 |Jacinta Nandi| dschungel []
|articles/0008_Mit großem Knall zurück zum Kampf.txt| https://jungle.world/artikel/2018/04/mit-grossem-knall-zurueck-zum-kampf 2018-01-25 |David Graaff| ausland []
|articles/0009_Gelände für kollektive Experimente.txt| https://jungle.world/artikel/2018/04/gelaende-fuer-kollektive-experimente 2018-01-25 |Bernhard Schmid| ausland []
|articles/0010_Die Normalisierung des Ausnahmezustands.txt| https://jungle.world/artikel/2018/04/die-normalisierung-des-ausnahmezustands 2018-01-28 |René Thannhäuser| ausland []
|articles/0011_Wahlsieg oder  rote Karte.txt| https://jungle.world/artikel/2018/04/wahlsieg-oder-rote-karte 2018-01-25 |Werner Imhof| ausland []
|articles/0012_Beliebter grüner Fleck.txt| https://jungle.world/artikel/2018/04/beliebter-gruener-fleck 2018-01-25 |Linda Schnepel| reportage []
|articles/0013_Tausche Afrin gegen Idlib.txt| https://jungle.world/artikel/2018/04/tausche-afrin-gegen-idlib 2018-01-25 |Jan Keetman| ausland []
|articles/0014_Dein Telefon weiß, wie’s dir geht.txt| https://jungle.world/artikel/2018/04/dein-telefon-weiss-wies-dir-geht 2018-01-25 |Enno Park| seite-16 []
|articles/0015_»Der Reichtum wurde weiter konzentriert«.txt| https://jungle.world/artikel/2018/04/der-reichtum-wurde-weiter-konzentriert 2018-01-25 |Anton Landgraf| interview []
|articles/0016_Der Pakt macht Probleme.txt| https://jungle.world/artikel/2018/04/der-pakt-macht-probleme 2018-01-25 |Nis Melbye| ausland []
|articles/0017_Soft Skill Zynismus.txt| https://jungle.world/artikel/2018/04/soft-skill-zynismus 2018-01-25 |Julia Pustet| inland []
|articles/0018_Frauen im Widerstand.txt| https://jungle.world/artikel/2018/04/frauen-im-widerstand 2018-01-25 |Peter Nowak| dschungel []
|articles/0019_»Bei Bitcoin geht es weniger um Technologie als um Psychologie«.txt| https://jungle.world/artikel/2018/04/bei-bitcoin-geht-es-weniger-um-technologie-als-um-psychologie 2018-01-25 |Malte Voß| thema []
|articles/0020_Kopfschüttelndes Augenrollen.txt| https://jungle.world/artikel/2018/04/kopfschuettelndes-augenrollen 2018-01-25 |Leo Fischer| dschungel []
|articles/0021_Pieps Pieps,  Bäh Bäh.txt| https://jungle.world/artikel/2018/04/pieps-pieps-baeh-baeh 2018-01-25 |Elke Wittich| dschungel []
|articles/0022_Das Ende der  Viktimisierung.txt| https://jungle.world/artikel/2018/04/das-ende-der-viktimisierung 2018-01-25 |Veronika Kracher| disko []
|articles/0023_Shopping immer,  rückwärts nimmer.txt| https://jungle.world/artikel/2018/04/shopping-immer-rueckwaerts-nimmer 2018-01-25 |Hans-Georg Schaefer| dschungel []
articles/0024_Frühlingsträume.txt https://jungle.world/artikel/2018/04/fruehlingstraeume 2018-01-25 |Liselotte Kreuz| hotspot []
|articles/0025_Mit großem Knall zurück zum Kampf.txt| https://jungle.world/artikel/2018/04/mit-grossem-knall-zurueck-zum-kampf 2018-01-25 |David Graaff| ausland []
|articles/0026_Gelände für kollektive Experimente.txt| https://jungle.world/artikel/2018/04/gelaende-fuer-kollektive-experimente 2018-01-25 |Bernhard Schmid| ausland []
|articles/0027_Die Normalisierung des Ausnahmezustands.txt| https://jungle.world/artikel/2018/04/die-normalisierung-des-ausnahmezustands 2018-01-28 |René Thannhäuser| ausland []
|articles/0029_Beliebter grüner Fleck.txt| https://jungle.world/artikel/2018/04/beliebter-gruener-fleck 2018-01-25 |Linda Schnepel| reportage []
|articles/0030_Führung durch Erpressung.txt| https://jungle.world/artikel/2018/04/fuehrung-durch-erpressung 2018-01-25 |Alexander Nabert| inland []
|articles/0031_Das andere Links.txt| https://jungle.world/artikel/2018/04/das-andere-links 2018-01-25 |Svenna Triebler| inland []
|articles/0032_Dein Telefon weiß, wie’s dir geht.txt| https://jungle.world/artikel/2018/04/dein-telefon-weiss-wies-dir-geht 2018-01-25 |Enno Park| seite-16 []
|articles/0033_»Der Reichtum wurde weiter konzentriert«.txt| https://jungle.world/artikel/2018/04/der-reichtum-wurde-weiter-konzentriert 2018-01-25 |Anton Landgraf| interview []
|articles/0034_Der Pakt macht Probleme.txt| https://jungle.world/artikel/2018/04/der-pakt-macht-probleme 2018-01-25 |Nis Melbye| ausland []
|articles/0035_Spielen mit den Nachbarskindern.txt| https://jungle.world/artikel/2018/03/spielen-mit-den-nachbarskindern 2018-01-18 |Simon Preker| ausland []
|articles/0036_Jenseits der Wand.txt| https://jungle.world/artikel/2018/03/jenseits-der-wand 2018-01-18 |Sabine Küper-Büsch| dschungel []
|articles/0037_»Bei Bitcoin geht es weniger um Technologie als um Psychologie«.txt| https://jungle.world/artikel/2018/04/bei-bitcoin-geht-es-weniger-um-technologie-als-um-psychologie 2018-01-25 |Malte Voß| thema []
|articles/0038_Dicke Luft in Indien.txt| https://jungle.world/artikel/2018/03/dicke-luft-indien 2018-01-18 |Gilbert Kolonko| seite-16 []
|articles/0039_Aufbruch: In alter Tradition.txt| https://jungle.world/artikel/2018/04/aufbruch-alter-tradition 2018-01-23 |Simon Duncker| hotspot []
|articles/0040_Zoff im Maghreb.txt| https://jungle.world/artikel/2018/03/zoff-im-maghreb 2018-01-18 |Bernhard Schmid| ausland []
