nd_texts/1077370.afrin-krieg-skandal-mit-ansage https://www.neues-deutschland.de/artikel/1077370.afrin-krieg-skandal-mit-ansage.html 2018-01-24 |Roland Etzel| politics |radically left| |['Berlin', 'Kurden', 'Syrien', 'Türkei']|
nd_texts/1077368.tuerkei-will-in-syrien-terroristen-ausrotten https://www.neues-deutschland.de/artikel/1077368.tuerkei-will-in-syrien-terroristen-ausrotten.html 2018-01-25 |Roland Etzel| politics |radically left| |['Sigmar', 'Gabriel', 'Syrien', 'Türkei']|
nd_texts/1077366.libyen-ueber-tote-bei-anschlaegen https://www.neues-deutschland.de/artikel/1077366.libyen-ueber-tote-bei-anschlaegen.html 2018-01-25 |None| politics |radically left| |['Islam', 'Libyen']|
nd_texts/1077367.naziterror-vor-gericht https://www.neues-deutschland.de/artikel/1077367.naziterror-vor-gericht.html 2018-01-05 |None| politics |radically left| |['Asylpolitik', 'Flüchtlinge', 'Rechtsradikalismus']|
nd_texts/1077365.behoerden-senden-mehr-stille-sms https://www.neues-deutschland.de/artikel/1077365.behoerden-senden-mehr-stille-sms.html 2016-09-28 |None| politics |radically left| |['DIE', 'LINKE', 'Digitalisierung', 'linke', 'Parteien', 'Überwachung']|
nd_texts/1077364.ruestungsexporte-in-spannungsgebiete-gestiegen https://www.neues-deutschland.de/artikel/1077364.ruestungsexporte-in-spannungsgebiete-gestiegen.html 2018-01-23 |None| politics |radically left| |['DIE', 'LINKE', 'Dietmar', 'Bartsch', 'linke', 'Parteien', 'Rüstungsexporte', 'Türkei']|
nd_texts/1077352.der-fruchtbare-halbmond-nordsyriens-droht-auszutrocknen https://www.neues-deutschland.de/artikel/1077352.der-fruchtbare-halbmond-nordsyriens-droht-auszutrocknen.html 2018-01-24 |Karin Leukefeld| politics |radically left| |['Kurden', 'Landwirtschaft', 'Syrien', 'Türkei']|
nd_texts/1077351.schwerstarbeit-fuer-vermittler-de-mistura https://www.neues-deutschland.de/artikel/1077351.schwerstarbeit-fuer-vermittler-de-mistura.html 2017-01-21 |Karin Leukefeld| politics |radically left| |['Frankreich', 'Österreich', 'Russland', 'Syrien', 'Türkei', 'UNO', 'USA']|
nd_texts/1077350.herero-und-nama-herero-und-nama-machen-merkel-dampf https://www.neues-deutschland.de/artikel/1077350.herero-und-nama-herero-und-nama-machen-merkel-dampf.html 2018-01-25 |Martin Ling| politics |radically left| |[]|
nd_texts/1077343.donald-trump-gegen-china https://www.neues-deutschland.de/artikel/1077343.donald-trump-gegen-china.html 2018-01-13 |Werner Birnstiel| politics |radically left| |['China', 'Donald', 'Trump', 'USA']|
nd_texts/1077342.streit-um-chemiewaffen https://www.neues-deutschland.de/artikel/1077342.streit-um-chemiewaffen.html 2017-12-22 |Olaf Standke| politics |radically left| |['Frankreich', 'Russland', 'Syrien', 'UNO', 'USA']|
nd_texts/1077341.fuenf-sterne-ohne-grillo https://www.neues-deutschland.de/artikel/1077341.fuenf-sterne-ohne-grillo.html 2018-01-25 |None| politics |radically left| |['Kabarett']|
nd_texts/1077335.verbeamtet-sachsen-mehr-lehrer https://www.neues-deutschland.de/artikel/1077335.verbeamtet-sachsen-mehr-lehrer.html 2018-01-12 |None| politics |radically left| |['Bildungspolitik', 'Sachsen']|
