pi_texts/amtsgericht-chemnitz-warten-auf-mounir http://www.pi-news.net/2018/01/amtsgericht-chemnitz-warten-auf-mounir/ 2018-01-20 |MAX THOMA| None |radically right| |Asyl Asyl-Irrsinn Flüchtlinge Justiz|
pi_texts/karlsruhe-muslime-im-groessenwahn http://www.pi-news.net/2018/01/karlsruhe-muslime-im-groessenwahn/ 2018-01-20 |None| None |radically right| |Karlsruhe-DITIB-Moschee PI-Pforzheim|
pi_texts/schikanierungen-gegen-afd-bald-fall-fuers-bundesverfassungsgericht http://www.pi-news.net/2018/01/schikanierungen-gegen-afd-bald-fall-fuers-bundesverfassungsgericht/ 2018-01-20 |None| None |radically right| |AfD Altparteien Geheimdienst-Gremium Roman Reusch|
pi_texts/landtag-nrw-dreiste-erhoehung-der-politikerzulagen http://www.pi-news.net/2018/01/landtag-nrw-dreiste-erhoehung-der-politikerzulagen/ 2018-01-20 |None| None |radically right| |Deutschland Korruption Laschet Lindner|
pi_texts/bayern-behoerden-trottel-entfuehren-arzt-ehefrau-nach-bangkok http://www.pi-news.net/2018/01/bayern-behoerden-trottel-entfuehren-arzt-ehefrau-nach-bangkok/ 2018-01-20 |DAVID DEIMER| None |radically right| ||
pi_texts/laut-gedacht-66-shithole-countries-eine-unbequeme-wahrheit http://www.pi-news.net/2018/01/laut-gedacht-66-shithole-countries-eine-unbequeme-wahrheit/ 2018-01-19 |None| None |radically right| |Laut Gedacht|
pi_texts/guetersloh-abschiebedrama-geiselnahme-und-schuesse-auf-polizei http://www.pi-news.net/2018/01/guetersloh-abschiebedrama-geiselnahme-und-schuesse-auf-polizei/ 2018-01-19 |MAX THOMA| None |radically right| |Asyl-Irrsinn Flüchtlinge|
pi_texts/mord-moslem-scheitert-mit-revision-in-karlsruhe http://www.pi-news.net/2018/01/mord-moslem-scheitert-mit-revision-in-karlsruhe/ 2018-01-19 |None| None |radically right| |Heilbronn-Mord|
pi_texts/staatsanwaltschaft-kiel-18-jaehriger-brutal-moerder-ist-psychisch-auffaellig http://www.pi-news.net/2018/01/staatsanwaltschaft-kiel-18-jaehriger-brutal-moerder-ist-psychisch-auffaellig/ 2018-01-19 |DAVID DEIMER| None |radically right| |Asyl-Irrsinn David Deimer Flüchtlinge Staatsanwaltschaft|
pi_texts/nicole-hoechst-afd-frauen-werden-ihrer-grundrechte-beraubt http://www.pi-news.net/2018/01/nicole-hoechst-afd-frauen-werden-ihrer-grundrechte-beraubt/ 2018-01-19 |None| None |radically right| |AfD Flüchtlinge Frauenrechte Nicole Höchst|
pi_texts/nagold-51-jaehriger-im-asylantenheim-vergewaltigt http://www.pi-news.net/2018/01/nagold-51-jaehriger-im-asylantenheim-vergewaltigt/ 2018-01-19 |None| None |radically right| |Rapefugees|
pi_texts/ein-mohammed-kommt-selten-alleine http://www.pi-news.net/2018/01/ein-mohammed-kommt-selten-alleine/ 2018-01-18 |None| None |radically right| |Asyl-Irrsinn Cantaloop Flüchtlinge Merkelismus|
pi_texts/stuerzenberger-alle-ditib-moscheen-muessen-sofort-geschlossen-werden http://www.pi-news.net/2018/01/stuerzenberger-alle-ditib-moscheen-muessen-sofort-geschlossen-werden/ 2018-01-18 |None| None |radically right| |Markus Wiener Pro Köln Stürzenberger|
pi_texts/alle-gegen-sellner-ein-paar-mails http://www.pi-news.net/2018/01/alle-gegen-sellner-ein-paar-mails/ 2018-01-18 |None| None |radically right| |Identitäre Bewegung Martin Sellner|
pi_texts/fluechtlingsrat-fehlt-es-an-empathie-fuer-die-opfer http://www.pi-news.net/2018/01/fluechtlingsrat-fehlt-es-an-empathie-fuer-die-opfer/ 2018-01-18 |None| None |radically right| |Asyl-Irrsinn DNA MUFL|
pi_texts/akif-pirincci-kleider-machen-meute http://www.pi-news.net/2018/01/akif-pirincci-kleider-machen-meute/ 2018-01-18 |None| None |radically right| |Akif Pirinçci|
pi_texts/kurz-laesst-merkel-gleich-zweimal-uralt-aussehen http://www.pi-news.net/2018/01/kurz-laesst-merkel-gleich-zweimal-uralt-aussehen/ 2018-01-18 |WOLFGANG HÜBNER| None |radically right| |Hübner|
pi_texts/syrische-jugendliche-greifen-ehepaar-mit-messer-an-und-fordern-respekt http://www.pi-news.net/2018/01/syrische-jugendliche-greifen-ehepaar-mit-messer-an-und-fordern-respekt/ 2018-01-18 |None| None |radically right| |Asyl-Irrsinn Blechen-Carree Cottbus Deutschenfeindlichkeit Islamisierung Deutschlands Messerstiche Migrantengewalt|
pi_texts/loreal-wirbt-mit-kopftuchmoslemin-fuer-haarshampoo http://www.pi-news.net/2018/01/loreal-wirbt-mit-kopftuchmoslemin-fuer-haarshampoo/ 2018-01-17 |None| None |radically right| |Islam Islamisierung Islamisierung Deutschlands L.S.Gabriel|
pi_texts/weibliche-guido-reil-organisiert-frauendemo-am-4-maerz-in-bottrop http://www.pi-news.net/2018/01/weibliche-guido-reil-organisiert-frauendemo-am-4-maerz-in-bottrop/ 2018-01-17 |None| None |radically right| |Bottrop Frauendemo Guido Reil Mona Maja Widerstand|
pi_texts/berlin-kurz-trifft-merkel http://www.pi-news.net/2018/01/berlin-kurz-trifft-merkel/ 2018-01-17 |None| None |radically right| |Flüchtlinge Kurz Merkel Österreich|
pi_texts/pastor-fouad-adel-gestorben http://www.pi-news.net/2018/01/pastor-fouad-adel-gestorben/ 2018-01-17 |None| None |radically right| |Islam Islamkritik Pastor Fouad Adel|
pi_texts/die-spd-ist-ihrer-fuehrung-ausgeliefert http://www.pi-news.net/2018/01/die-spd-ist-ihrer-fuehrung-ausgeliefert/ 2018-01-17 |WOLFGANG HÜBNER| None |radically right| |Groko Hübner Jusos Martin Schulz Merkel Rebellion|
pi_texts/medien-establishment-kuehrt-alternative-fakten-zum-unwort-des-jahres http://www.pi-news.net/2018/01/medien-establishment-kuehrt-alternative-fakten-zum-unwort-des-jahres/ 2018-01-17 |None| None |radically right| |Alternative Fakten Altmedien Lügenpresse Unwort des Jahres|
pi_texts/muenchen-versuchte-vergewaltigung-im-ostbahnhof-zwischengeschoss http://www.pi-news.net/2018/01/muenchen-versuchte-vergewaltigung-im-ostbahnhof-zwischengeschoss/ 2018-01-17 |None| None |radically right| |Asyl-Irrsinn Flüchtlinge Islamisierung Deutschlands Rapefugees|
pi_texts/stadt-dresden-foerdert-kurs-zum-farbenfrohen-burkatragen http://www.pi-news.net/2018/01/stadt-dresden-foerdert-kurs-zum-farbenfrohen-burkatragen/ 2018-01-16 |None| None |radically right| |Islam lsg|
pi_texts/eine-momentaufnahme-aus-dem-amtsgericht-hannover http://www.pi-news.net/2018/01/eine-momentaufnahme-aus-dem-amtsgericht-hannover/ 2018-01-16 |None| None |radically right| |Ausländerkriminalität|
pi_texts/gesunder-menschenverstand-im-osten-gehirnwaesche-im-westen http://www.pi-news.net/2018/01/gesunder-menschenverstand-im-osten-gehirnwaesche-im-westen/ 2018-01-16 |None| None |radically right| |AfD Deutschland Gesunder Menschenverstand Kandel|
pi_texts/afd-berlin-kritisiert-demokratiedefizit-an-humboldt-universitaet http://www.pi-news.net/2018/01/afd-berlin-kritisiert-demokratiedefizit-an-humboldt-universitaet/ 2018-01-16 |None| None |radically right| |AfD Antifa Humboldt-Universität Berlin Linke Martin Trefzer|
pi_texts/was-ein-achtjaehriger-weiss-gefrorener-chinese-uns-lehrt http://www.pi-news.net/2018/01/was-ein-achtjaehriger-weiss-gefrorener-chinese-uns-lehrt/ 2018-01-16 |None| None |radically right| |Bildungspolitik China Deutschland Pisa|
