../nachdenkseiten/articles/36535.txt http://www.nachdenkseiten.de/?p=36535 2017-01-09 |Jens Berger| |['Audio-Podcast', 'Erosion der Demokratie', 'Rechte Gefahr', 'Soziale Gerechtigkeit', 'Ungleichheit', 'Armut', 'Reichtum', 'Wahlen']|
|../jungle/articles/1394_Der rechte Platz für solche Leute.txt| https://jungle.world/artikel/2017/35/der-rechte-platz-fuer-solche-leute 2017-08-31 |Richard Gebhardt| inland []
../neues-deutschland/nd_texts/1069258.klimagipfel-in-bonn-vertrauenstest-fuer-die-industrielaender https://www.neues-deutschland.de/artikel/1069258.klimagipfel-in-bonn-vertrauenstest-fuer-die-industrielaender.html 2017-11-01 None economy/environment |radically left| |['Barbara', 'Hendricks', 'Bonn', 'Entwicklungsland', 'Indien', 'Klimaschutz', 'Nordrhein-Westfalen', 'Weltklimagipfel']|
../neues-deutschland/nd_texts/1075900.gerichtsurteil-ueber-seenotretter-pegida-darf-mission-lifeline-nicht-als-schlepper-bezeichnen https://www.neues-deutschland.de/artikel/1075900.gerichtsurteil-ueber-seenotretter-pegida-darf-mission-lifeline-nicht-als-schlepper-bezeichnen.html 2018-01-02 None politics |radically left| |['Flüchtlinge', 'Mittelmeer', 'Pegida', 'Seenotrettung']|
|../jungle/articles/4422_Grünzeug für die Hühnermörder.txt| https://jungle.world/artikel/2016/44/gruenzeug-fuer-die-huehnermoerder 2016-11-03 |Roland Röder| inland []
../neues-deutschland/nd_texts/1022642.ig-metall-will-fairness-ins-autohaus-bringen https://www.neues-deutschland.de/artikel/1022642.ig-metall-will-fairness-ins-autohaus-bringen.html 2016-08-19 |Dieter Hanisch| leftist_movement |radically left| []
|../jungle/articles/1411_Ein Kaiser als Kartellkumpel.txt| https://jungle.world/artikel/2017/34/ein-kaiser-als-kartellkumpel 2017-08-24 |Andreas Knobloch| sport []
../nachdenkseiten/articles/39065.txt http://www.nachdenkseiten.de/?p=39065 2017-07-06 Redaktion |['Hinweise des Tages']|
|../jungle/articles/4525_Helden sollten Treppen steigen.txt| https://jungle.world/artikel/2016/43/helden-sollten-treppen-steigen 2016-10-27 |Ute Weinmann| ausland []
|../jungle/articles/2525_Gelände für kollektive Experimente.txt| https://jungle.world/artikel/2018/04/gelaende-fuer-kollektive-experimente 2018-01-25 |Bernhard Schmid| ausland []
../derfreitag/data/114.txt https://www.freitag.de/autoren/ernstchen/die-ersten-saeugetiere-in-der-welt-der-saurier 2014-08-05 |['Patrisse Khan-Cullors','Silvio Spottiswoode','Ehemaliger Nutzer']| None
|../jungle/articles/3797_Shopping immer,  rückwärts nimmer.txt| https://jungle.world/artikel/2018/04/shopping-immer-rueckwaerts-nimmer 2018-01-25 |Hans-Georg Schaefer| dschungel []
../nachdenkseiten/articles/36836.txt http://www.nachdenkseiten.de/?p=36836 2017-02-01 |Albrecht Müller| |['Doku interessanten Kabaretts']|
../nachdenkseiten/articles/41975.txt http://www.nachdenkseiten.de/?p=41975 2018-01-21 Redaktion |['Hinweise des Tages']|
|../jungle/articles/1150_Putzen als Leistungssport.txt| https://jungle.world/artikel/2017/39/putzen-als-leistungssport 2017-09-28 |Lisa Bor| inland []
../derfreitag/data/392.txt https://www.freitag.de/autoren/maennlicherlinker/partisanen-der-lebensfreude 2014-08-26 |['Patrisse Khan-Cullors','Ehemaliger Nutzer']| None
|../jungle/articles/3013_Der Superpräsident.txt| https://jungle.world/artikel/2017/15/der-superpraesident 2017-04-13 |Sabine Küper-Büsch| thema []
../nachdenkseiten/articles/39771.txt http://www.nachdenkseiten.de/?p=39771 2017-08-25 |Jens Berger| |['Europäische Union', 'Rezensionen', 'Sozialstaat']|
../neues-deutschland/nd_texts/1072349.situation-der-bauern-verbessert https://www.neues-deutschland.de/artikel/1072349.situation-der-bauern-verbessert.html 2017-12-06 None economy/environment |radically left| ['Landwirtschaft']
../neues-deutschland/nd_texts/1076584.tieraerzte-tagen-in-leipzig https://www.neues-deutschland.de/artikel/1076584.tieraerzte-tagen-in-leipzig.html 2018-01-13 None politics |radically left| |['Leipzig', 'Sachsen']|
../neues-deutschland/nd_texts/1073966.lueckenschluss-im-nordosten https://www.neues-deutschland.de/artikel/1073966.lueckenschluss-im-nordosten.html 2017-10-07 |Winfried Wagner| economy/environment |radically left| |['Berlin', 'Magdeburg', 'Mecklenburg-Vorpommern', 'Sachsen-Anhalt', 'Schwerin', 'Verkehrspolitik']|
../derfreitag/data/1121.txt https://www.freitag.de/autoren/mmuessig/das-gegenteil-von-gut-ist-gut-gemeint 2017-09-23 |['Patrisse Khan-Cullors','Ute Cohen','Frieda Baum','Ehemaliger Nutzer']| None
|../jungle/articles/0474_»Der Reichtum wurde weiter konzentriert«.txt| https://jungle.world/artikel/2018/04/der-reichtum-wurde-weiter-konzentriert 2018-01-25 |Anton Landgraf| interview []
|../jungle/articles/1419_Gelände für kollektive Experimente.txt| https://jungle.world/artikel/2018/04/gelaende-fuer-kollektive-experimente 2018-01-25 |Bernhard Schmid| ausland []
|../jungle/articles/3519_»Bei Bitcoin geht es weniger um Technologie als um Psychologie«.txt| https://jungle.world/artikel/2018/04/bei-bitcoin-geht-es-weniger-um-technologie-als-um-psychologie 2018-01-25 |Malte Voß| thema []
|../jungle/articles/1220_Beliebter grüner Fleck.txt| https://jungle.world/artikel/2018/04/beliebter-gruener-fleck 2018-01-25 |Linda Schnepel| reportage []
../nachdenkseiten/articles/37104.txt http://www.nachdenkseiten.de/?p=37104 2017-02-21 |Albrecht Müller| |['Audio-Podcast', 'Banken', 'Börse', 'Spekulation']|
../jungle/articles/4350_Bratwurst-Connection.txt https://jungle.world/artikel/2016/45/bratwurst-connection 2016-11-10 |Ralf Fischer| antifa []
../derfreitag/data/853.txt https://www.freitag.de/autoren/gina-bucher/teilen-kommt-immer-gut 2012-09-17 |['Patrisse Khan-Cullors']| None
../derfreitag/data/657.txt https://www.freitag.de/autoren/community-redaktion/ms-dockville-festival 2012-08-06 |['Patrisse Khan-Cullors','Ehemaliger Nutzer']| None
../nachdenkseiten/articles/40114.txt http://www.nachdenkseiten.de/?p=40114 2017-09-15 |Albrecht Müller| |['Audio-Podcast', 'Demoskopie/Umfragen', 'SPD', 'Wahlen']|
../derfreitag/data/989.txt https://www.freitag.de/autoren/rjspoetta/unfaehig-2.0 2013-08-12 |['Patrisse Khan-Cullors','Ehemaliger Nutzer']| None
../nachdenkseiten/articles/39199.txt http://www.nachdenkseiten.de/?p=39199 2017-07-14 Redaktion |['Hinweise des Tages']|
|../jungle/articles/1065_Die populistische Pseudorevolte.txt| https://jungle.world/artikel/2017/40/die-populistische-pseudorevolte 2017-10-05 |Emanuel Bergmann| ausland []
|../jungle/articles/2067_Die Normalisierung des Ausnahmezustands.txt| https://jungle.world/artikel/2018/04/die-normalisierung-des-ausnahmezustands 2018-01-28 |René Thannhäuser| ausland []
../neues-deutschland/nd_texts/1073608.ryanair-akzeptiert-pilotengewerkschaften https://www.neues-deutschland.de/artikel/1073608.ryanair-akzeptiert-pilotengewerkschaften.html 2017-12-18 None economy/environment |radically left| |['Vereinigung', 'Cockpit']|
../nachdenkseiten/articles/38669.txt http://www.nachdenkseiten.de/?p=38669 2017-06-09 |Jens Berger| |['Aufbau Gegenöffentlichkeit', 'Wahlen']|
../derfreitag/data/909.txt https://www.freitag.de/autoren/netzpiloten/willkommen-in-deutschland 2015-10-09 |['Patrisse Khan-Cullors','Ehemaliger Nutzer']| None
|../jungle/articles/1858_Shopping immer,  rückwärts nimmer.txt| https://jungle.world/artikel/2018/04/shopping-immer-rueckwaerts-nimmer 2018-01-25 |Hans-Georg Schaefer| dschungel []
../derfreitag/data/829.txt https://www.freitag.de/autoren/christine-kaeppeler/me-myself-and-i 2015-10-09 |['Patrisse Khan-Cullors']| None
|../jungle/articles/4111_»Der Reichtum wurde weiter konzentriert«.txt| https://jungle.world/artikel/2018/04/der-reichtum-wurde-weiter-konzentriert 2018-01-25 |Anton Landgraf| interview []
|../jungle/articles/4530_Das war sehr extrem.txt| https://jungle.world/artikel/2016/43/das-war-sehr-extrem 2016-10-27 |Heiko von Schrenk| dschungel []
|../jungle/articles/1387_T-Shirt im Treibhaus.txt| https://jungle.world/artikel/2017/35/t-shirt-im-treibhaus 2017-08-31 |Ivo Bozic| thema []
../nachdenkseiten/articles/37225.txt http://www.nachdenkseiten.de/?p=37225 2017-03-02 Redaktion |['Hinweise des Tages']|
../nachdenkseiten/articles/27591.txt http://www.nachdenkseiten.de/?p=27591 2015-09-17 |Albrecht Müller| |['Drehtür Politik und Wirtschaft', 'Militäreinsätze/Kriege', 'Rezensionen', 'Terrorismus']|
../neues-deutschland/nd_texts/981116.kurze-vollzeit-aber-fuer-alle https://www.neues-deutschland.de/artikel/981116.kurze-vollzeit-aber-fuer-alle.html 2015-08-14 None leftist_movement |radically left| []
../nachdenkseiten/articles/38313.txt http://www.nachdenkseiten.de/?p=38313 2017-05-16 Redaktion |['Hinweise des Tages']|
../nachdenkseiten/articles/32038.txt http://www.nachdenkseiten.de/?p=32038 2016-03-11 Redaktion |['Hinweise des Tages']|
../nachdenkseiten/articles/35647.txt http://www.nachdenkseiten.de/?p=35647 2016-11-02 |Albrecht Müller| |['Medien und Medienanalyse', 'Militäreinsätze/Kriege']|
|../jungle/articles/0276_Das Unbehagen  in der Demokratie.txt| https://jungle.world/artikel/2017/51/das-unbehagen-der-demokratie 2017-12-21 |Felix Klopotek| inland []
../nachdenkseiten/articles/29024.txt http://www.nachdenkseiten.de/?p=29024 2015-11-25 |Albrecht Müller| |['Aktuelles', 'Denkfehler Wirtschaftsdebatte', 'Strategien der Meinungsmache', 'Terrorismus', 'Wertedebatte']|
|../jungle/articles/3906_Polizei verhindert Aufklärung.txt| https://jungle.world/artikel/2016/50/polizei-verhindert-aufklaerung 2016-12-15 |Gaston Kirsche| inland []
|../jungle/articles/3544_Gelände für kollektive Experimente.txt| https://jungle.world/artikel/2018/04/gelaende-fuer-kollektive-experimente 2018-01-25 |Bernhard Schmid| ausland []
|../jungle/articles/4354_Der KGB steckte dahinter.txt| https://jungle.world/artikel/2016/45/der-kgb-steckte-dahinter 2016-11-10 |Elke Wittich| dschungel []
../nachdenkseiten/articles/36334.txt http://www.nachdenkseiten.de/?p=36334 2016-12-19 |Albrecht Müller| |['Doku interessanten Kabaretts']|
|../jungle/articles/0632_Beben und Gegenwind.txt| https://jungle.world/artikel/2017/46/beben-und-gegenwind 2017-11-16 |Rosa Lehmann| ausland []
../neues-deutschland/nd_texts/1005571.wenn-koenig-kostendruck-regiert https://www.neues-deutschland.de/artikel/1005571.wenn-koenig-kostendruck-regiert.html 2016-03-18 |Marcus Meier| leftist_movement |radically left| ['Krankenhaus']
../nachdenkseiten/articles/36845.txt http://www.nachdenkseiten.de/?p=36845 2017-02-02 |Jens Berger| |['Arbeitsmarkt und Arbeitsmarktpolitik', 'Audio-Podcast', 'Globalisierung', 'Wirtschaftspolitik und Konjunktur']|
|../jungle/articles/4060_Dein Telefon weiß, wie’s dir geht.txt| https://jungle.world/artikel/2018/04/dein-telefon-weiss-wies-dir-geht 2018-01-25 |Enno Park| seite-16 []
|../jungle/articles/4166_Trump sei Dank.txt| https://jungle.world/artikel/2016/47/trump-sei-dank 2016-11-24 |Elke Wittich| dschungel []
../neues-deutschland/nd_texts/1077204.im-banne-der-trumpokalypse https://www.neues-deutschland.de/artikel/1077204.im-banne-der-trumpokalypse.html 2018-01-02 |Oliver Eberhardt| politics |radically left| |['Donald', 'Trump', 'Israel', 'Jerusalem', 'Nahost', 'Palästina', 'USA']|
../neues-deutschland/nd_texts/1076576.afghanische-taliban-zu-gespraechen-in-pakistan https://www.neues-deutschland.de/artikel/1076576.afghanische-taliban-zu-gespraechen-in-pakistan.html 2017-06-02 None politics |radically left| |['Afghanistan', 'Al', 'Qaida', 'Pakistan', 'Taliban']|
